"Naplatna postaja HAC";"Ruta";"GPS pin ulaza";"GPS pin izlaza"
"Babina Greda";"A3/A5";"45.109473618494704,18.557152223839484";"45.109678472452515,18.559400963775992"
"Benkovac";"A1/A6";"44.00861248035217,15.58084030860634";"44.0094889363266,15.581870902275888"
"Bisko";"A1/A6";"43.57148107641887,16.686565770135307";"43.56929484298937,16.68497729852096"
"Blato na Cetini";"A1/A6";"43.462601087498605,16.839948833177584";"43.46325359371703,16.84304409772701"
"Bosiljevo";"A1/A6";"45.41787080102865,15.29171338429674";"45.41824734486209,15.292196181906608"
"Bregana";"A3/A5";"45.840277563587925,15.702474078396145";"45.83802074960901,15.707086629493396"
"Breznički Hum";"A4";"46.10144006900903,16.282488724707758";"46.10040500288248,16.282445389914134"
"Brinje";"A1/A6";"45.024794553861845,15.159903386765384";"45.02652595981097,15.160960439012253"
"Čepin";"A3/A5";"45.50435430718897,18.51471034800006";"45.504316369164705,18.514773500878338"
"Delnice";"A1/A6";"45.37701815315436,14.791109157327723";"45.376369085764054,14.791160199646562"
"Donja Zdenčina";"A1/A6";"45.67535081251253,15.757646467694759";"45.6750584488087,15.755677726284164"
"Dugopolje";"A1/A6";"43.59504883017037,16.57233014445459";"43.59657346530395,16.57012287064694"
"Đakovo";"A3/A5";"45.325224980354456,18.385501438605115";"45.32351607728833,18.38403417566624"
"Goričan";"A4";"46.412586259289846,16.64443406534352";"46.412811172269414,16.638228363373326"
"Gornja Ploča";"A1/A6";"44.43940227958922,15.630484894939794";"44.43951061243507,15.627985165355783"
"Gospić";"A1/A6";"44.573578745620104,15.422202851481147";"44.57363487909885,15.422589078266721"
"Ivanić Grad";"A3/A5";"45.69128229847263,16.391005463292817";"45.690087292068036,16.390690626335374"
"Ivanja Reka";"A3/A5";"45.754564018230006,16.269551908187278";"45.753619784412756,16.279169189393496"
"Jastrebarsko";"A1/A6";"45.645790078210766,15.676848855528972";"45.646165099192096,15.67749258570337"
"Karlovac";"A1/A6";"45.512112959307736,15.548630657314565";"45.51252646552533,15.548641386150337"
"Komin";"A4";"45.99541375484198,16.28223049861786";"45.99469110270748,16.283581917294292"
"Križ";"A3/A5";"45.65803838754536,16.498533741981106";"45.657364971648605,16.49709231976667"
"Kutina";"A3/A5";"45.462620831875604,16.76791165361246";"45.46162104834687,16.767158329990483"
"Lipovac";"A3/A5";"45.046662005306366,19.073187629510617";"45.046662005306366,19.073187629510617"
"Ludbreg";"A4";"46.283222993474816,16.485451062017834";"46.283723479044674,16.484834153946395"
"Lužani";"A3/A5";"45.17154323034786,17.679064261837972";"45.170483675702144,17.678568060655728"
"Maslenica";"A1/A6";"44.24033604277839,15.533342552492691";"44.239990156075116,15.532312584258303"
"Međimurje";"A2";"46.26091816033613,15.861106208347831";"46.25916247069791,15.858073683083695";"Macelj"
"Nova Gradiška";"A3/A5";"45.231863132858386,17.41158402476866";"45.23068443612175,17.411970262856556"
"Novi Marof";"A4";"46.1502769465146,16.364938415062333";"46.151146554766505,16.365238822464033"
"Novigrad";"A1/A6";"45.479203242800544,15.425741772694481";"45.4797448758597,15.426288943318998"
"Novska";"A3/A5";"45.33172952983759,16.94788137841858";"45.33157868199758,16.946980156213492"
"Ogulin";"A1/A6";"45.23597615606893,15.263980445990718";"45.23684765618739,15.263648716986902"
"Okučani";"A3/A5";"45.21419775121462,17.208633306063213";"45.21444561557695,17.210843656802773"
"Osijek";"A3/A5";"45.57563102429492,18.56068616914044";"45.57515840973221,18.55771987395179"
